County,location_type,gender,education_level,marital_status,adults,financially_excluded,age,is_youth,is_rural_youth
Kisii,Urban,Male,Secondary completed ,Single/Never Married,>1 adult Household,1,21,1,0
Kisumu,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,25,1,0
Elgeyo-Marakwet,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,56,0,0
Taita-Taveta,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,54,0,0
Elgeyo-Marakwet,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,30,1,1
Vihiga,Rural,Female,Some primary ,Widowed,1 adult Household,0,59,0,0
Nyamira,Rural,Male,Some primary ,Single/Never Married,1 adult Household,0,49,0,0
Isiolo,Urban,Female,Secondary completed ,Single/Never Married,>1 adult Household,1,23,1,0
Marsabit,Urban,Male,Some technical training after secondary school,Single/Never Married,>1 adult Household,0,19,1,0
Tana River,Rural,Female,Secondary completed ,Single/Never Married,>1 adult Household,1,22,1,1
Taita-Taveta,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,50,0,0
Kisumu,Urban,Male,Secondary completed ,Married/Living with partner,1 adult Household,0,30,1,0
Elgeyo-Marakwet,Urban,Male,Some primary ,Divorced/separated,1 adult Household,0,36,0,0
Makueni,Rural,Female,Some primary ,Single/Never Married,1 adult Household,0,24,1,1
Murang'a,Rural,Female,Primary completed,Single/Never Married,>1 adult Household,0,18,1,1
Machakos,Rural,Male,University completed ,Single/Never Married,>1 adult Household,0,26,1,1
Meru,Rural,Female,None ,Widowed,>1 adult Household,1,67,0,0
Baringo,Rural,Male,Primary completed,Single/Never Married,>1 adult Household,0,31,1,1
Lamu,Urban,Male,Secondary completed ,Single/Never Married,>1 adult Household,1,19,1,0
Elgeyo-Marakwet,Rural,Female,Some primary ,Widowed,>1 adult Household,1,53,0,0
Tana River,Urban,Female,Some secondary,Married/Living with partner,>1 adult Household,0,36,0,0
Meru,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,0,51,0,0
Wajir,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,22,1,1
Laikipia,Urban,Female,Secondary completed ,Married/Living with partner,>1 adult Household,0,22,1,0
Kisumu,Urban,Female,Secondary completed ,Divorced/separated,>1 adult Household,0,38,0,0
Kiambu,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,31,1,1
Machakos,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,60,0,0
Machakos,Urban,Female,Secondary completed ,Married/Living with partner,1 adult Household,0,34,1,0
Taita-Taveta,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,45,0,0
Kakamega,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,39,0,0
Embu,Urban,Male,University completed ,Single/Never Married,1 adult Household,0,24,1,0
Meru,Rural,Male,Secondary completed ,Single/Never Married,1 adult Household,0,21,1,1
Elgeyo-Marakwet,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,40,0,0
Tana River,Urban,Male,Some primary ,Single/Never Married,>1 adult Household,0,22,1,0
Samburu,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,54,0,0
Marsabit,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,40,0,0
Taita-Taveta,Rural,Female,Secondary completed ,Single/Never Married,>1 adult Household,1,20,1,1
Uasin Gishu,Urban,Male,University completed ,Married/Living with partner,>1 adult Household,0,44,0,0
Machakos,Urban,Male,Secondary completed ,Single/Never Married,>1 adult Household,0,22,1,0
Kwale,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,50,0,0
Taita-Taveta,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,71,0,0
Nyamira,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,73,0,0
Kisii,Rural,Male,Primary completed,Single/Never Married,1 adult Household,0,32,1,1
Busia,Rural,Male,None ,Widowed,1 adult Household,0,60,0,0
Garissa,Urban,Female,None ,Married/Living with partner,>1 adult Household,0,25,1,0
Bungoma,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,1,35,1,1
Garissa,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,38,0,0
Kisumu,Urban,Female,Primary completed,Widowed,1 adult Household,0,35,1,0
Busia,Urban,Female,Primary completed,Widowed,>1 adult Household,0,45,0,0
Laikipia,Urban,Male,Completed technical training after secondary school,Single/Never Married,>1 adult Household,0,25,1,0
Makueni,Rural,Female,Some primary ,Widowed,>1 adult Household,0,62,0,0
Isiolo,Urban,Female,Primary completed,Single/Never Married,>1 adult Household,1,19,1,0
Nyeri,Urban,Female,Secondary completed ,Married/Living with partner,1 adult Household,0,32,1,0
Kisumu,Urban,Male,Primary completed,Married/Living with partner,1 adult Household,1,35,1,0
Embu,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,50,0,0
Vihiga,Rural,Female,Primary completed,Widowed,1 adult Household,0,42,0,0
Nandi,Rural,Male,Primary completed,Single/Never Married,>1 adult Household,1,20,1,1
Kericho,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,23,1,1
Meru,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,52,0,0
Kiambu,Rural,Female,Primary completed,Divorced/separated,1 adult Household,0,58,0,0
Bomet,Rural,Female,Some primary ,Single/Never Married,1 adult Household,0,60,0,0
Embu,Rural,Female,Some secondary,Widowed,1 adult Household,0,37,0,0
Kajiado,Urban,Male,Some university,Single/Never Married,1 adult Household,0,29,1,0
Nyeri,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,78,0,0
Embu,Urban,Female,Some primary ,Divorced/separated,1 adult Household,0,40,0,0
Kajiado,Urban,Male,University completed ,Single/Never Married,1 adult Household,0,29,1,0
Tharaka-Nithi,Rural,Female,Secondary completed ,Married/Living with partner,1 adult Household,0,40,0,0
Homabay,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,32,1,1
Nairobi City,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,28,1,0
Samburu,Urban,Female,Secondary completed ,Single/Never Married,>1 adult Household,0,27,1,0
Narok,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,35,1,1
Nyeri,Urban,Female,Some technical training after secondary school,Single/Never Married,1 adult Household,0,21,1,0
Embu,Rural,Male,Some secondary,Married/Living with partner,1 adult Household,0,51,0,0
Bungoma,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,0,38,0,0
Homabay,Rural,Male,Some secondary,Single/Never Married,>1 adult Household,1,21,1,1
Machakos,Urban,Female,Some secondary,Married/Living with partner,1 adult Household,0,26,1,0
Wajir,Rural,Female,Some secondary,Single/Never Married,>1 adult Household,1,18,1,1
Kisumu,Rural,Male,Some primary ,Single/Never Married,>1 adult Household,0,25,1,1
Meru,Rural,Female,Secondary completed ,Single/Never Married,1 adult Household,0,34,1,1
Nyamira,Urban,Female,Some secondary,Widowed,>1 adult Household,0,62,0,0
Turkana,Urban,Female,Some primary ,Divorced/separated,1 adult Household,0,23,1,0
Tharaka-Nithi,Rural,Male,None ,Widowed,1 adult Household,0,79,0,0
Bomet,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,1,29,1,1
Kisumu,Urban,Female,Secondary completed ,Married/Living with partner,>1 adult Household,0,46,0,0
Vihiga,Rural,Female,Secondary completed ,Divorced/separated,>1 adult Household,0,66,0,0
Nyeri,Rural,Female,Primary completed,Single/Never Married,1 adult Household,1,40,0,0
Nandi,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,39,0,0
Nyeri,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,37,0,0
Kakamega,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,80,0,0
Murang'a,Rural,Female,Primary completed,Widowed,>1 adult Household,0,47,0,0
Mandera,Rural,Female,None ,Married/Living with partner,1 adult Household,0,30,1,1
Bungoma,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,47,0,0
Bungoma,Rural,Female,None ,Married/Living with partner,>1 adult Household,0,66,0,0
Isiolo,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,70,0,0
Kwale,Rural,Female,None ,Married/Living with partner,1 adult Household,0,38,0,0
Nakuru,Urban,Female,Some secondary,Married/Living with partner,>1 adult Household,0,27,1,0
Uasin Gishu,Urban,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,27,1,0
Makueni,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,24,1,1
Kisumu,Urban,Male,Secondary completed ,Married/Living with partner,1 adult Household,0,37,0,0
Uasin Gishu,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,49,0,0
Bomet,Rural,Male,Some university,Single/Never Married,>1 adult Household,0,20,1,1
Bomet,Rural,Female,Some secondary,Married/Living with partner,>1 adult Household,0,43,0,0
Nakuru,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,22,1,1
Nandi,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,72,0,0
Baringo,Rural,Female,None ,Divorced/separated,>1 adult Household,0,33,1,1
Kisumu,Urban,Male,Secondary completed ,Single/Never Married,>1 adult Household,0,25,1,0
Elgeyo-Marakwet,Rural,Male,Primary completed,Single/Never Married,>1 adult Household,0,38,0,0
Machakos,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,58,0,0
Bungoma,Rural,Male,Some secondary,Widowed,>1 adult Household,0,67,0,0
Uasin Gishu,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,33,1,1
Busia,Rural,Female,None ,Divorced/separated,1 adult Household,1,30,1,1
Mombasa,Urban,Male,Some secondary,Widowed,>1 adult Household,0,50,0,0
Uasin Gishu,Urban,Female,Some university,Single/Never Married,1 adult Household,0,20,1,0
Kakamega,Rural,Female,Some secondary,Married/Living with partner,1 adult Household,0,30,1,1
Kajiado,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,28,1,1
Laikipia,Rural,Male,Primary completed,Single/Never Married,1 adult Household,1,32,1,1
Machakos,Rural,Male,Some primary ,Single/Never Married,>1 adult Household,0,60,0,0
Vihiga,Rural,Female,Some primary ,Widowed,>1 adult Household,0,52,0,0
Wajir,Rural,Female,Some secondary,Married/Living with partner,>1 adult Household,0,25,1,1
Nairobi City,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,30,1,0
Vihiga,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,68,0,0
Baringo,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,46,0,0
Nandi,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,38,0,0
Nandi,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,31,1,1
