County,location_type,gender,education_level,marital_status,adults,financially_excluded,age,is_youth,is_rural_youth
Marsabit,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,30,1,0
Mandera,Urban,Female,None ,Married/Living with partner,>1 adult Household,0,38,0,0
Nyamira,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,65,0,0
Isiolo,Rural,Female,None ,Married/Living with partner,>1 adult Household,0,55,0,0
Wajir,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,36,0,0
Baringo,Rural,Female,None ,Single/Never Married,1 adult Household,0,67,0,0
Kajiado,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,32,1,0
Nakuru,Rural,Male,Some primary ,Married/Living with partner,1 adult Household,0,65,0,0
Makueni,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,33,1,1
Laikipia,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,25,1,1
Samburu,Rural,Female,None ,Widowed,1 adult Household,1,74,0,0
Vihiga,Rural,Male,Secondary completed ,Single/Never Married,>1 adult Household,0,25,1,1
Kericho,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,36,0,0
Taita-Taveta,Urban,Male,Some secondary,Single/Never Married,>1 adult Household,0,25,1,0
Mombasa,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,29,1,0
Kajiado,Urban,Male,Some university,Single/Never Married,1 adult Household,0,24,1,0
Tana River,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,27,1,1
Isiolo,Rural,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,65,0,0
Baringo,Rural,Male,Completed technical training after secondary school,Divorced/separated,1 adult Household,0,33,1,1
Taita-Taveta,Urban,Female,Some secondary,Widowed,>1 adult Household,0,63,0,0
Isiolo,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,28,1,1
Mombasa,Urban,Male,Secondary completed ,Single/Never Married,1 adult Household,0,26,1,0
Meru,Rural,Male,Secondary completed ,Divorced/separated,1 adult Household,0,26,1,1
Siaya,Rural,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,35,1,1
Kilifi,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,0,43,0,0
Kericho,Urban,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,39,0,0
Elgeyo-Marakwet,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,30,1,0
Narok,Rural,Female,None ,Married/Living with partner,>1 adult Household,0,55,0,0
Nyamira,Rural,Male,Primary completed,Single/Never Married,>1 adult Household,1,20,1,1
Bungoma,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,21,1,0
Tharaka-Nithi,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,72,0,0
Turkana,Urban,Female,Some primary ,Single/Never Married,1 adult Household,0,36,0,0
Taita-Taveta,Rural,Male,Primary completed,Single/Never Married,1 adult Household,0,34,1,1
Kitui,Rural,Male,Secondary completed ,Single/Never Married,>1 adult Household,1,19,1,1
Trans Nzoia,Urban,Female,Primary completed,Married/Living with partner,>1 adult Household,0,49,0,0
Taita-Taveta,Rural,Female,None ,Widowed,>1 adult Household,0,67,0,0
Mandera,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,40,0,0
Makueni,Urban,Female,Secondary completed ,Single/Never Married,1 adult Household,0,25,1,0
Nyeri,Urban,Male,Some secondary,Single/Never Married,>1 adult Household,0,21,1,0
Isiolo,Urban,Female,Secondary completed ,Single/Never Married,1 adult Household,0,31,1,0
Siaya,Rural,Female,None ,Widowed,1 adult Household,0,69,0,0
Elgeyo-Marakwet,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,36,0,0
Lamu,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,25,1,1
Nyeri,Rural,Male,Secondary completed ,Divorced/separated,1 adult Household,0,48,0,0
Vihiga,Urban,Male,Completed technical training after secondary school,Divorced/separated,1 adult Household,0,29,1,0
Machakos,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,30,1,0
Kilifi,Urban,Female,Primary completed,Divorced/separated,>1 adult Household,0,44,0,0
Wajir,Urban,Male,Some primary ,Married/Living with partner,>1 adult Household,0,38,0,0
Homabay,Urban,Male,Don't know (DO NOT READ OUT),Married/Living with partner,>1 adult Household,0,25,1,0
Wajir,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,46,0,0
Vihiga,Urban,Male,Primary completed,Married/Living with partner,>1 adult Household,0,40,0,0
Embu,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,34,1,1
Baringo,Rural,Female,None ,Married/Living with partner,>1 adult Household,1,34,1,1
Bomet,Urban,Male,Primary completed,Married/Living with partner,>1 adult Household,0,35,1,0
Baringo,Rural,Male,Primary completed,Divorced/separated,1 adult Household,1,35,1,1
Nyamira,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,39,0,0
Garissa,Urban,Female,None ,Married/Living with partner,>1 adult Household,0,40,0,0
Taita-Taveta,Urban,Male,Primary completed,Married/Living with partner,>1 adult Household,0,30,1,0
Machakos,Rural,Male,Some primary ,Divorced/separated,1 adult Household,0,65,0,0
Nandi,Rural,Male,Some primary ,Single/Never Married,1 adult Household,1,26,1,1
Nairobi City,Urban,Female,Secondary completed ,Married/Living with partner,>1 adult Household,0,31,1,0
Nandi,Rural,Female,Some university,Single/Never Married,>1 adult Household,0,24,1,1
Nyandarua,Urban,Male,Secondary completed ,Single/Never Married,1 adult Household,0,25,1,0
Bomet,Rural,Male,None ,Widowed,1 adult Household,0,65,0,0
Tana River,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,64,0,0
Trans Nzoia,Urban,Female,Secondary completed ,Single/Never Married,>1 adult Household,0,21,1,0
Isiolo,Urban,Female,Some primary ,Married/Living with partner,1 adult Household,0,35,1,0
Makueni,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,60,0,0
Wajir,Rural,Male,None ,Divorced/separated,1 adult Household,0,35,1,1
Bomet,Rural,Female,None ,Widowed,1 adult Household,0,85,0,0
Tharaka-Nithi,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,51,0,0
Kiambu,Urban,Female,Some primary ,Widowed,1 adult Household,0,76,0,0
Nakuru,Rural,Male,Primary completed,Single/Never Married,1 adult Household,0,33,1,1
Isiolo,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,20,1,1
Meru,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,58,0,0
Garissa,Urban,Male,Some university,Single/Never Married,1 adult Household,0,24,1,0
Nakuru,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,1,46,0,0
Makueni,Rural,Female,Some primary ,Widowed,1 adult Household,0,61,0,0
Machakos,Rural,Male,Some secondary,Single/Never Married,>1 adult Household,1,18,1,1
Tana River,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,26,1,1
Tharaka-Nithi,Rural,Female,Secondary completed ,Married/Living with partner,1 adult Household,0,47,0,0
Busia,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,49,0,0
Wajir,Rural,Female,None ,Married/Living with partner,>1 adult Household,0,29,1,1
Bomet,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,60,0,0
Kericho,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,60,0,0
Busia,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,75,0,0
Kisii,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,48,0,0
Machakos,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,47,0,0
Kajiado,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,52,0,0
Kajiado,Urban,Male,Secondary completed ,Divorced/separated,1 adult Household,0,31,1,0
Nairobi City,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,33,1,0
Vihiga,Urban,Male,University completed ,Married/Living with partner,>1 adult Household,0,33,1,0
Homabay,Urban,Female,Primary completed,Single/Never Married,1 adult Household,0,48,0,0
Kwale,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,30,1,1
Trans Nzoia,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,37,0,0
Turkana,Rural,Female,None ,Widowed,1 adult Household,1,39,0,0
Meru,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,46,0,0
Kitui,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,45,0,0
Machakos,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,28,1,0
Elgeyo-Marakwet,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,38,0,0
Lamu,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,62,0,0
Nandi,Urban,Male,Some secondary,Divorced/separated,1 adult Household,1,50,0,0
Vihiga,Urban,Female,Some secondary,Widowed,1 adult Household,0,76,0,0
Turkana,Rural,Female,None ,Divorced/separated,1 adult Household,1,22,1,1
Baringo,Rural,Female,Some secondary,Married/Living with partner,1 adult Household,0,34,1,1
Bomet,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,52,0,0
Migori,Rural,Male,Some secondary,Single/Never Married,>1 adult Household,1,21,1,1
Tana River,Rural,Male,None ,Widowed,>1 adult Household,0,60,0,0
Murang'a,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,40,0,0
Taita-Taveta,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,67,0,0
Machakos,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,27,1,1
Laikipia,Rural,Male,Some primary ,Divorced/separated,1 adult Household,0,49,0,0
Mombasa,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,50,0,0
Isiolo,Urban,Male,Some primary ,Married/Living with partner,>1 adult Household,0,35,1,0
Bomet,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,70,0,0
Turkana,Urban,Male,None ,Married/Living with partner,>1 adult Household,1,47,0,0
Kilifi,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,49,0,0
Bomet,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,35,1,1
Machakos,Urban,Female,Secondary completed ,Divorced/separated,>1 adult Household,0,59,0,0
Tana River,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,82,0,0
Kisii,Rural,Male,Secondary completed ,Single/Never Married,>1 adult Household,0,30,1,1
Turkana,Rural,Female,None ,Married/Living with partner,>1 adult Household,1,20,1,1
Kwale,Urban,Male,Primary completed,Married/Living with partner,>1 adult Household,0,27,1,0
Bomet,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,37,0,0
Uasin Gishu,Urban,Female,Completed technical training after secondary school,Divorced/separated,1 adult Household,0,35,1,0
Nyeri,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,59,0,0
Marsabit,Rural,Female,Some secondary,Married/Living with partner,>1 adult Household,0,25,1,1
Kitui,Rural,Female,None ,Widowed,1 adult Household,0,80,0,0
Lamu,Rural,Male,Primary completed,Single/Never Married,1 adult Household,0,22,1,1
Nandi,Urban,Female,Secondary completed ,Single/Never Married,1 adult Household,0,28,1,0
Laikipia,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,32,1,1
Narok,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,32,1,1
Kwale,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,44,0,0
Kwale,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,50,0,0
Kajiado,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,57,0,0
Nyandarua,Rural,Female,Secondary completed ,Married/Living with partner,>1 adult Household,0,23,1,1
Mombasa,Urban,Male,Secondary completed ,Single/Never Married,>1 adult Household,0,26,1,0
Kiambu,Rural,Female,Some secondary,Single/Never Married,>1 adult Household,1,18,1,1
Uasin Gishu,Urban,Female,Completed technical training after secondary school,Single/Never Married,>1 adult Household,0,25,1,0
Murang'a,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,43,0,0
Nyandarua,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,30,1,1
Lamu,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,34,1,1
Lamu,Urban,Male,Primary completed,Single/Never Married,>1 adult Household,0,43,0,0
Nandi,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,36,0,0
Lamu,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,45,0,0
Elgeyo-Marakwet,Rural,Male,None ,Single/Never Married,1 adult Household,1,69,0,0
Siaya,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,50,0,0
Nairobi City,Urban,Male,Some primary ,Married/Living with partner,>1 adult Household,0,38,0,0
Kiambu,Rural,Male,Some secondary,Single/Never Married,>1 adult Household,1,18,1,1
Embu,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,23,1,1
Tana River,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,38,0,0
Vihiga,Rural,Male,Some primary ,Divorced/separated,>1 adult Household,0,46,0,0
Homabay,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,45,0,0
Kajiado,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,31,1,1
Kilifi,Rural,Female,None ,Widowed,1 adult Household,1,76,0,0
Mandera,Urban,Female,Some secondary,Single/Never Married,>1 adult Household,0,20,1,0
Mandera,Rural,Female,None ,Married/Living with partner,>1 adult Household,1,33,1,1
Kwale,Rural,Female,Primary completed,Single/Never Married,>1 adult Household,1,21,1,1
Machakos,Urban,Male,Primary completed,Married/Living with partner,>1 adult Household,0,28,1,0
Kisii,Urban,Male,Some university,Married/Living with partner,>1 adult Household,0,24,1,0
Kwale,Rural,Female,None ,Widowed,>1 adult Household,1,48,0,0
Murang'a,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,29,1,1
Nyeri,Urban,Male,Some technical training after secondary school,Single/Never Married,1 adult Household,0,21,1,0
Elgeyo-Marakwet,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,38,0,0
Uasin Gishu,Urban,Male,Secondary completed ,Single/Never Married,>1 adult Household,0,20,1,0
Kisii,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,1,63,0,0
Isiolo,Urban,Female,None ,Widowed,1 adult Household,0,33,1,0
Migori,Rural,Female,Some secondary,Single/Never Married,>1 adult Household,1,19,1,1
Meru,Rural,Female,Primary completed,Widowed,1 adult Household,0,58,0,0
Busia,Rural,Male,Some primary ,Widowed,1 adult Household,0,73,0,0
Nakuru,Urban,Male,Some university,Married/Living with partner,>1 adult Household,0,23,1,0
Migori,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,47,0,0
Nyeri,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,39,0,0
Trans Nzoia,Rural,Female,None ,Widowed,1 adult Household,1,72,0,0
Kwale,Rural,Female,None ,Widowed,>1 adult Household,0,60,0,0
Marsabit,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,19,1,1
Bomet,Rural,Male,Some secondary,Single/Never Married,>1 adult Household,1,18,1,1
Migori,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,29,1,1
Marsabit,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,35,1,1
Elgeyo-Marakwet,Rural,Female,None ,Widowed,1 adult Household,1,65,0,0
Siaya,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,1,36,0,0
Nairobi City,Urban,Female,Secondary completed ,Single/Never Married,1 adult Household,0,30,1,0
Kakamega,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,0,36,0,0
Samburu,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,33,1,1
Bungoma,Urban,Female,Some technical training after secondary school,Married/Living with partner,>1 adult Household,0,26,1,0
Nandi,Rural,Male,Some secondary,Single/Never Married,>1 adult Household,1,19,1,1
Mandera,Urban,Female,None ,Married/Living with partner,>1 adult Household,0,25,1,0
Turkana,Urban,Male,Some primary ,Married/Living with partner,>1 adult Household,0,28,1,0
Nandi,Urban,Female,Primary completed,Married/Living with partner,>1 adult Household,0,35,1,0
Kitui,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,36,0,0
Nakuru,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,31,1,1
Uasin Gishu,Urban,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,36,0,0
Lamu,Rural,Male,Secondary completed ,Divorced/separated,1 adult Household,1,53,0,0
Nyamira,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,32,1,1
Kisumu,Urban,Female,Some university,Single/Never Married,1 adult Household,0,25,1,0
Garissa,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,48,0,0
Lamu,Rural,Female,Primary completed,Single/Never Married,>1 adult Household,0,39,0,0
Kericho,Urban,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,33,1,0
Kericho,Rural,Female,Primary completed,Single/Never Married,>1 adult Household,0,24,1,1
Machakos,Urban,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,42,0,0
Baringo,Urban,Female,Some primary ,Divorced/separated,1 adult Household,0,24,1,0
Meru,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,36,0,0
Bomet,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,30,1,1
Wajir,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,22,1,1
Kericho,Rural,Male,Primary completed,Divorced/separated,1 adult Household,0,32,1,1
Makueni,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,40,0,0
Lamu,Urban,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,54,0,0
West Pokot,Rural,Female,None ,Married/Living with partner,1 adult Household,0,34,1,1
Kisii,Urban,Female,Some secondary,Widowed,1 adult Household,0,58,0,0
Makueni,Urban,Male,Completed technical training after secondary school,Married/Living with partner,1 adult Household,0,30,1,0
Migori,Urban,Male,Some primary ,Married/Living with partner,>1 adult Household,0,41,0,0
Marsabit,Urban,Female,Some primary ,Married/Living with partner,>1 adult Household,0,34,1,0
Taita-Taveta,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,1,68,0,0
Wajir,Rural,Female,None ,Married/Living with partner,>1 adult Household,0,20,1,1
Garissa,Urban,Female,None ,Widowed,1 adult Household,0,60,0,0
Siaya,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,0,23,1,1
Bungoma,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,63,0,0
Mandera,Urban,Male,None ,Married/Living with partner,>1 adult Household,0,90,0,0
Meru,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,22,1,1
Nakuru,Rural,Male,Some primary ,Divorced/separated,1 adult Household,0,49,0,0
Kwale,Urban,Female,Primary completed,Single/Never Married,>1 adult Household,0,36,0,0
Baringo,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,55,0,0
Kitui,Rural,Female,Completed technical training after secondary school,Married/Living with partner,1 adult Household,0,26,1,1
Kisii,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,50,0,0
Bungoma,Rural,Female,Some primary ,Widowed,1 adult Household,0,73,0,0
Mandera,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,29,1,1
Tana River,Urban,Male,None ,Married/Living with partner,>1 adult Household,1,40,0,0
Kisumu,Rural,Male,Some primary ,Divorced/separated,1 adult Household,0,28,1,1
Kiambu,Urban,Male,Secondary completed ,Divorced/separated,1 adult Household,0,34,1,0
Kitui,Rural,Female,None ,Widowed,1 adult Household,1,61,0,0
Vihiga,Urban,Male,University completed ,Married/Living with partner,>1 adult Household,0,29,1,0
Garissa,Urban,Female,None ,Married/Living with partner,>1 adult Household,0,42,0,0
Trans Nzoia,Urban,Male,Some secondary,Single/Never Married,>1 adult Household,1,19,1,0
Bomet,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,0,64,0,0
Kakamega,Rural,Female,University completed ,Married/Living with partner,>1 adult Household,0,32,1,1
Kirinyaga,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,85,0,0
Machakos,Rural,Female,Some secondary,Widowed,>1 adult Household,0,44,0,0
Kisii,Rural,Male,Completed technical training after secondary school,Married/Living with partner,1 adult Household,0,35,1,1
Kwale,Rural,Male,None ,Widowed,>1 adult Household,0,65,0,0
Lamu,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,32,1,1
Kakamega,Rural,Female,Secondary completed ,Single/Never Married,>1 adult Household,0,20,1,1
Garissa,Rural,Male,None ,Single/Never Married,>1 adult Household,1,20,1,1
Makueni,Urban,Female,Completed technical training after secondary school,Single/Never Married,>1 adult Household,0,25,1,0
Isiolo,Urban,Male,Some primary ,Married/Living with partner,>1 adult Household,0,23,1,0
Nakuru,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,31,1,1
Trans Nzoia,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,29,1,0
Makueni,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,43,0,0
Siaya,Rural,Female,Some primary ,Single/Never Married,>1 adult Household,1,28,1,1
Tharaka-Nithi,Urban,Female,Some secondary,Widowed,>1 adult Household,0,70,0,0
Elgeyo-Marakwet,Rural,Male,Some technical training after secondary school,Married/Living with partner,>1 adult Household,0,25,1,1
Nyamira,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,43,0,0
Narok,Rural,Male,Secondary completed ,Single/Never Married,>1 adult Household,0,23,1,1
Nakuru,Urban,Female,Completed technical training after secondary school,Single/Never Married,>1 adult Household,0,57,0,0
Busia,Rural,Female,Primary completed,Single/Never Married,>1 adult Household,0,19,1,1
Mandera,Urban,Male,None ,Married/Living with partner,>1 adult Household,0,45,0,0
Kitui,Urban,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,25,1,0
Nyamira,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,39,0,0
Kirinyaga,Urban,Male,Primary completed,Married/Living with partner,>1 adult Household,0,49,0,0
Tana River,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,34,1,1
Kwale,Rural,Male,Secondary completed ,Single/Never Married,>1 adult Household,0,20,1,1
Turkana,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,27,1,1
Nyeri,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,37,0,0
Mombasa,Urban,Male,Primary completed,Married/Living with partner,>1 adult Household,0,30,1,0
Taita-Taveta,Rural,Female,Some primary ,Divorced/separated,1 adult Household,0,38,0,0
Marsabit,Urban,Male,None ,Married/Living with partner,>1 adult Household,1,40,0,0
Garissa,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,35,1,1
Turkana,Urban,Male,Primary completed,Married/Living with partner,>1 adult Household,0,33,1,0
Meru,Rural,Female,Some primary ,Single/Never Married,>1 adult Household,1,30,1,1
Kiambu,Rural,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,52,0,0
Nyeri,Rural,Female,Primary completed,Divorced/separated,>1 adult Household,0,56,0,0
Nyamira,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,48,0,0
Busia,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,27,1,1
Kakamega,Rural,Female,None ,Widowed,>1 adult Household,0,75,0,0
Embu,Rural,Male,Primary completed,Divorced/separated,1 adult Household,0,54,0,0
Wajir,Urban,Male,None ,Married/Living with partner,>1 adult Household,0,58,0,0
Nyeri,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,35,1,1
Uasin Gishu,Urban,Female,Completed technical training after secondary school,Single/Never Married,1 adult Household,0,34,1,0
Kitui,Rural,Female,None ,Widowed,1 adult Household,0,85,0,0
Machakos,Rural,Female,Secondary completed ,Single/Never Married,>1 adult Household,0,18,1,1
Tana River,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,51,0,0
Homabay,Rural,Female,Some primary ,Widowed,1 adult Household,1,100,0,0
Bungoma,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,76,0,0
West Pokot,Rural,Female,None ,Married/Living with partner,1 adult Household,1,55,0,0
Migori,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,39,0,0
Kericho,Urban,Female,Some technical training after secondary school,Single/Never Married,>1 adult Household,0,21,1,0
Nyamira,Rural,Male,University completed ,Married/Living with partner,>1 adult Household,0,38,0,0
Isiolo,Urban,Female,Primary completed,Widowed,>1 adult Household,1,43,0,0
Nyandarua,Rural,Female,Primary completed,Widowed,>1 adult Household,0,72,0,0
Kisii,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,24,1,0
Wajir,Urban,Female,Some university,Married/Living with partner,>1 adult Household,0,28,1,0
Nyamira,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,41,0,0
Kisumu,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,37,0,0
Kitui,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,0,45,0,0
Kiambu,Urban,Female,Some primary ,Widowed,1 adult Household,0,81,0,0
Garissa,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,35,1,1
Kilifi,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,45,0,0
Makueni,Rural,Male,University completed ,Married/Living with partner,>1 adult Household,0,48,0,0
Meru,Rural,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,46,0,0
Migori,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,28,1,1
Baringo,Rural,Male,Primary completed,Single/Never Married,>1 adult Household,1,51,0,0
Laikipia,Urban,Male,Primary completed,Divorced/separated,1 adult Household,1,65,0,0
Busia,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,44,0,0
Mandera,Rural,Female,None ,Married/Living with partner,1 adult Household,0,38,0,0
Machakos,Rural,Female,Primary completed,Married/Living with partner,1 adult Household,0,48,0,0
Nakuru,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,32,1,0
Trans Nzoia,Rural,Female,Some secondary,Single/Never Married,>1 adult Household,0,18,1,1
Narok,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,35,1,1
Migori,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,30,1,1
Bomet,Rural,Female,None ,Widowed,>1 adult Household,1,80,0,0
Isiolo,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,25,1,1
West Pokot,Urban,Female,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,30,1,0
Marsabit,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,28,1,1
Lamu,Urban,Male,Secondary completed ,Single/Never Married,1 adult Household,0,28,1,0
Mombasa,Urban,Male,Secondary completed ,Single/Never Married,>1 adult Household,1,20,1,0
Turkana,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,26,1,1
Kirinyaga,Rural,Female,Primary completed,Single/Never Married,>1 adult Household,0,34,1,1
Wajir,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,25,1,1
Murang'a,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,55,0,0
Tharaka-Nithi,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,25,1,1
Nandi,Rural,Male,Some technical training after secondary school,Married/Living with partner,>1 adult Household,0,46,0,0
Kiambu,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,47,0,0
Homabay,Rural,Female,Some secondary,Single/Never Married,>1 adult Household,0,18,1,1
Kakamega,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,34,1,1
Taita-Taveta,Urban,Male,Completed technical training after secondary school,Married/Living with partner,1 adult Household,0,52,0,0
