Feature,Importance
age,0.026692178904568275
education_level,0.012221956469744045
County,0.010667304472614181
location_type,0.003300645778521849
is_rural_youth,0.0012915570437693868
adults,0.0006696962449174393
gender,0.00033484812245870854
is_youth,0.0
marital_status,-0.00038268356852431127
